"Species","Taxon.History.URL.ICTV"
"Friunavirus B3","ICTVonline=202106904"
"Friunavirus B5","ICTVonline=202106905"
"Friunavirus D2","ICTVonline=202106912"
"Friunavirus Fri1","ICTVonline=202100545"
"Friunavirus fv15519","ICTVonline=202106911"
"Friunavirus IME200","ICTVonline=202100546"
"Friunavirus P1","ICTVonline=202106906"
"Friunavirus P2","ICTVonline=202106907"
"Friunavirus PD6A3","ICTVonline=202100547"
"Friunavirus PDAB9","ICTVonline=202100548"
"Friunavirus SWHAb1","ICTVonline=202108508"
"Friunavirus SWHAb3","ICTVonline=202108509"
"Friunavirus WCHABP5","ICTVonline=202106908"
"Pettyvirus petty","ICTVonline=202108511"
"Gutovirus Vc1","ICTVonline=202108634"
"Kaohsiungvirus A318","ICTVonline=202108619"
"Kaohsiungvirus AS51","ICTVonline=202108620"
"Kaohsiungvirus Vp670","ICTVonline=202108621"
"Murciavirus CB5A","ICTVonline=202108624"
"Murciavirus CPP1m","ICTVonline=202108623"
"Trungvirus VEN","ICTVonline=202108632"
"Uliginvirus achelous","ICTVonline=202108628"
